PHYLUM		KINGDOM		SUPERKINGDOM
ciliophora	chromista	eukaryota
cryptophyta	chromista	eukaryota
foraminifera	chromista	eukaryota
endomyxa	chromista	eukaryota
haptophyta	chromista	eukaryota
stramenopiles	chromista	eukaryota
myzozoa		chromista	eukaryota
ochrophyta	chromista	eukaryota
oomycota	chromista	eukaryota
pyrrophycophyta	chromista	eukaryota
retaria		chromista	eukaryota
rhizaria	chromista	eukaryota
stramenopila	chromista	eukaryota
aurearenophyceae	chromista	eukaryota
bolidophyceae	chromista	eukaryota
choanoflagellida	chromista	eukaryota
eukaryota	eukaryota	eukaryota
evosea		eukaryota	eukaryota
filasterea	eukaryota	eukaryota
opisthokonta	eukaryota	eukaryota
pluriformea	eukaryota	eukaryota
jokobida	eukaryota	eukaryota
metamonada	eukaryota	eukaryota
ascomycota	eukaryota	fungi
basidiomycota	eukaryota	fungi
blastocladiomycota	eukaryota	fungi
chytridiomycota	eukaryota	fungi
cryptomycota	eukaryota	fungi
entorrhizomycota	eukaryota	fungi
fungi		eukaryota	fungi
microsporidia	eukaryota	fungi
mucoromycota	eukaryota	fungi
zoopagomycota	eukaryota	fungi
anthocerotophyta	eukaryota	fungi
bryophyta	eukaryota	plantae
charophyta	eukaryota	plantae	
chlorophyta	eukaryota	plantae
ginkgophyta	eukaryota	plantae
marchantiophyta	eukaryota	plantae
plantae		eukaryota	plantae
rhodophyta	eukaryota	plantae
streptophyta	eukaryota	plantae
tracheophyta	eukaryota	plantae
amoebozoa	eukaryota	protozoa
apusozoa	eukaryota	protozoa
choanozoa	eukaryota	protozoa
craspedophyta	eukaryota	protozoa
euglenozoa	eukaryota	protozoa
loukozoa	eukaryota	protozoa
mycetozoa	eukaryota	protozoa
parabasalia	eukaryota	protozoa
percolozoa	eukaryota	protozoa
protozoa	eukaryota	protozoa
sarcomastigophora	eukaryota	protozoa
unknown		unknown		unknown
uroviricota	viruses		viruses
alphasatellitidae	viruses		viruses
ampullaviridae	viruses		viruses
anelloviridae	viruses		viruses
artverviricota	viruses		viruses
asssiduviridae	viruses		viruses
bendigovirus	viruses		viruses
benedictvirus	viruses		viruses
bicaudaviridae	viruses		viruses
bingvirus	viruses		viruses
caudovirales	viruses		viruses
cossaviricota	viruses		viruses
cressdnaviricota	viruses		viruses
dinodnavirus	viruses		viruses
dividoviricota	viruses		viruses
duplornaviricota	viruses		viruses
fuselloviridae	viruses		viruses
guelinviridae	viruses		viruses
halspiviridae	viruses		viruses
hofneiviricota	viruses		viruses
kitrinoviricota	viruses		viruses
lenarviricota	viruses		viruses
leonardvirus	viruses		viruses
lubbockvirus	viruses		viruses
naldaviricetes	viruses		viruses
negarnaviricota	viruses		viruses
negevirus	viruses		viruses
nucleocytoviricota	viruses		viruses
orthornavirae	viruses		viruses
ovaliviridae	viruses		viruses
pandoravirus	viruses		viruses
peploviricota	viruses		viruses
phixviricota	viruses		viruses
pisuviricota	viruses		viruses
pisuviricota 	viruses		viruses
pithoviridae	viruses		viruses
plasmaviridae	viruses		viruses
polydnaviridae	viruses		viruses
polydnaviriformidae	viruses		viruses
portogloboviridae	viruses		viruses
preplasmiviricota	viruses		viruses
retro_transcribing_viruses	viruses		viruses
saleviricota	viruses		viruses
ssdna_viruses	viruses		viruses
ssrna_viruses	viruses		viruses
taleaviricota	viruses		viruses
teleaviricota	viruses		viruses
thaspiviridae	viruses		viruses
tolecusatellitidae	viruses		viruses
uetakevirus	viruses		viruses
uroviricota	viruses		viruses
